target_end_date,value,type,quantile,forecast_date,target,location
2020-11-27,111.24629397640771,quantile,0.100,2020-11-20,7 day ahead inc hosp,25
2020-11-27,116.81360418713679,quantile,0.150,2020-11-20,7 day ahead inc hosp,25
2020-11-27,121.38528273808467,quantile,0.200,2020-11-20,7 day ahead inc hosp,25
2020-11-27,125.4131917460269,quantile,0.250,2020-11-20,7 day ahead inc hosp,25
2020-11-27,129.11506283570694,quantile,0.300,2020-11-20,7 day ahead inc hosp,25
2020-11-27,132.61799380755082,quantile,0.350,2020-11-20,7 day ahead inc hosp,25
2020-11-27,136.00738170002845,quantile,0.400,2020-11-20,7 day ahead inc hosp,25
2020-11-27,139.34809026124134,quantile,0.450,2020-11-20,7 day ahead inc hosp,25
2020-11-27,142.6955502825194,quantile,0.500,2020-11-20,7 day ahead inc hosp,25
2020-11-27,144.59383413007336,point,NA,2020-11-20,7 day ahead inc hosp,25
2020-11-27,146.1029613964221,quantile,0.550,2020-11-20,7 day ahead inc hosp,25
2020-11-27,149.62740641076797,quantile,0.600,2020-11-20,7 day ahead inc hosp,25
2020-11-27,153.3368211580289,quantile,0.650,2020-11-20,7 day ahead inc hosp,25
2020-11-27,157.3201843651646,quantile,0.700,2020-11-20,7 day ahead inc hosp,25
2020-11-27,161.70539610901463,quantile,0.750,2020-11-20,7 day ahead inc hosp,25
2020-11-27,166.69573047026944,quantile,0.800,2020-11-20,7 day ahead inc hosp,25
2020-11-27,172.65736610903906,quantile,0.850,2020-11-20,7 day ahead inc hosp,25
2020-11-27,180.38397652031645,quantile,0.900,2020-11-20,7 day ahead inc hosp,25
2020-11-27,192.30940944597364,quantile,0.950,2020-11-20,7 day ahead inc hosp,25
2020-11-27,203.1233996201232,quantile,0.975,2020-11-20,7 day ahead inc hosp,25
2020-11-27,216.26335662969964,quantile,0.990,2020-11-20,7 day ahead inc hosp,25
2020-11-28,89.6446632367324,quantile,0.010,2020-11-20,8 day ahead inc hosp,25
2020-11-28,97.02336267966218,quantile,0.025,2020-11-20,8 day ahead inc hosp,25
2020-11-28,103.72586032898558,quantile,0.050,2020-11-20,8 day ahead inc hosp,25
2020-11-28,111.87785107875266,quantile,0.100,2020-11-20,8 day ahead inc hosp,25
2020-11-28,117.64315117539714,quantile,0.150,2020-11-20,8 day ahead inc hosp,25
2020-11-28,122.38187000546702,quantile,0.200,2020-11-20,8 day ahead inc hosp,25
2020-11-28,126.56012228187323,quantile,0.250,2020-11-20,8 day ahead inc hosp,25
